index,carat,cut,color,clarity,depth,table,length (mm),width (mm),height (mm),year
70,0.74,Very Good,G,SI1,62.2,59.0,5.73,5.82,3.59,2022
71,0.73,Ideal,F,VS2,62.6,56.0,5.77,5.74,3.6,2022
72,0.8,Premium,F,SI2,61.7,58.0,5.98,5.94,3.68,2022
73,0.71,Ideal,G,VS2,62.4,54.0,5.72,5.76,3.58,2022
74,0.71,Ideal,D,SI2,62.3,56.0,5.73,5.69,3.56,2022
75,0.74,Ideal,E,SI1,62.3,54.0,5.8,5.83,3.62,2022
76,0.7,Very Good,F,VS2,61.7,63.0,5.64,5.61,3.47,2022
77,0.7,Fair,F,VS2,64.5,57.0,5.57,5.53,3.58,2022
78,0.7,Premium,F,VS2,61.6,60.0,5.65,5.59,3.46,2022
79,0.61,Very Good,D,VVS2,59.6,57.0,5.56,5.58,3.32,2022
80,0.91,Fair,H,SI2,64.4,57.0,6.11,6.09,3.93,2022
81,0.91,Fair,H,SI2,65.7,60.0,6.03,5.99,3.95,2022
82,0.77,Ideal,H,VS2,62.0,56.0,5.89,5.86,3.64,2022
83,0.71,Very Good,D,SI1,63.6,58.0,5.64,5.68,3.6,2022
84,0.71,Ideal,D,SI1,61.9,59.0,5.69,5.72,3.53,2022
85,0.71,Very Good,F,VS1,60.1,62.0,5.74,5.77,3.46,2022
86,0.71,Premium,F,VS1,61.8,59.0,5.69,5.73,3.53,2022
87,0.64,Ideal,G,VVS1,61.9,56.0,5.53,5.56,3.43,2022
88,0.71,Premium,G,VS2,59.8,56.0,5.89,5.81,3.5,2022
89,0.7,Very Good,F,VS1,60.0,57.0,5.8,5.87,3.5,2022
90,0.7,Good,H,VVS2,62.1,64.0,5.62,5.65,3.5,2022
91,0.73,Very Good,D,SI1,60.2,56.0,5.83,5.87,3.52,2022
92,0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,2022
93,0.71,Premium,D,VS2,62.5,60.0,5.65,5.61,3.52,2022
94,0.76,Very Good,F,SI1,62.9,57.0,5.79,5.81,3.65,2022
95,0.76,Ideal,D,SI2,62.4,57.0,5.78,5.83,3.62,2022
96,0.73,Premium,G,VS1,61.5,58.0,5.79,5.75,3.55,2022
97,0.73,Ideal,D,SI2,59.9,57.0,5.92,5.89,3.54,2022
98,0.73,Premium,G,VS2,59.2,59.0,5.92,5.87,3.49,2022
99,0.72,Very Good,H,VVS2,60.3,56.0,5.81,5.83,3.51,2022
100,0.73,Very Good,F,SI1,61.7,60.0,5.79,5.82,3.58,2022
101,0.71,Ideal,G,VS2,61.9,57.0,5.73,5.77,3.56,2022
102,0.79,Ideal,F,SI2,61.9,55.0,5.97,5.92,3.68,2022
103,0.8,Very Good,F,SI2,61.0,57.0,6.01,6.03,3.67,2022
104,0.58,Ideal,G,VVS1,61.5,55.0,5.39,5.44,3.33,2022
105,0.58,Ideal,F,VVS1,61.7,56.0,5.33,5.37,3.3,2022
106,0.75,Ideal,D,SI2,61.3,56.0,5.85,5.89,3.6,2022
107,0.7,Premium,D,VS2,58.0,62.0,5.87,5.78,3.38,2022
108,1.17,Very Good,J,I1,60.2,61.0,6.83,6.9,4.13,2022
109,0.6,Ideal,E,VS1,61.7,55.0,5.41,5.44,3.35,2022
110,0.7,Ideal,E,SI1,62.7,55.0,5.68,5.74,3.58,2022
111,0.83,Good,I,VS2,64.6,54.0,5.85,5.88,3.79,2022
112,0.74,Very Good,F,VS2,61.3,61.0,5.8,5.84,3.57,2022
113,0.72,Very Good,G,VS2,63.7,56.4,5.62,5.69,3.61,2022
114,0.54,Ideal,E,VVS2,61.5,57.0,5.24,5.26,3.23,2022
115,0.72,Ideal,G,SI1,61.8,56.0,5.72,5.75,3.55,2022
116,0.71,Ideal,G,SI1,60.5,56.0,5.8,5.76,3.5,2022
117,0.71,Premium,F,VS2,62.1,58.0,5.67,5.7,3.53,2022
118,0.71,Very Good,F,VS2,62.8,57.0,5.64,5.69,3.56,2022
119,0.71,Good,F,VS2,57.8,60.0,5.87,5.9,3.4,2022
120,0.7,Premium,E,VS2,61.1,60.0,5.71,5.64,3.47,2022
121,0.7,Premium,E,SI1,60.0,59.0,5.79,5.75,3.46,2022
122,0.7,Premium,E,SI1,61.0,57.0,5.73,5.68,3.48,2022
123,0.7,Ideal,E,SI1,61.4,57.0,5.76,5.7,3.52,2022
124,0.7,Very Good,E,SI1,59.9,63.0,5.76,5.7,3.43,2022
125,0.7,Premium,E,SI1,61.3,58.0,5.71,5.68,3.49,2022
126,0.7,Very Good,E,SI1,63.2,60.0,5.6,5.51,3.51,2022
127,0.52,Ideal,F,VVS1,61.3,55.0,5.19,5.22,3.19,2022
128,0.77,Premium,G,VS2,61.2,58.0,5.9,5.93,3.62,2022
129,0.71,Ideal,F,VS2,62.1,54.0,5.68,5.72,3.54,2022
130,1.01,Premium,F,I1,61.8,60.0,6.39,6.36,3.94,2022
131,0.77,Ideal,H,SI1,62.2,56.0,5.83,5.88,3.64,2022
132,0.78,Ideal,H,SI1,61.2,56.0,5.92,5.99,3.64,2022
133,0.53,Very Good,D,VVS2,57.5,64.0,5.34,5.37,3.08,2022
134,0.72,Ideal,D,SI1,60.8,57.0,5.76,5.75,3.5,2022
135,0.72,Premium,D,SI1,62.7,59.0,5.73,5.69,3.58,2022
136,0.75,Premium,F,SI1,61.4,59.0,5.88,5.85,3.6,2022
137,0.72,Very Good,F,VS2,63.0,54.0,5.69,5.73,3.6,2022
138,0.79,Very Good,H,VS1,63.7,56.0,5.85,5.92,3.75,2022
139,0.51,Ideal,F,VVS1,62.0,57.0,5.11,5.15,3.18,2022
140,0.7,Very Good,H,VVS1,60.5,60.0,5.74,5.77,3.48,2022
141,0.83,Very Good,I,VS1,61.1,60.0,6.07,6.1,3.72,2022
142,0.71,Good,D,VS2,63.3,56.0,5.64,5.68,3.58,2022
143,0.77,Good,G,VS1,59.4,64.0,5.97,5.92,3.53,2022
144,1.01,Fair,E,I1,64.5,58.0,6.29,6.21,4.03,2022
145,1.01,Premium,H,SI2,62.7,59.0,6.31,6.22,3.93,2022
146,0.76,Premium,E,SI1,60.4,58.0,5.92,5.94,3.58,2022
147,0.76,Premium,E,SI1,61.8,58.0,5.82,5.86,3.61,2022
148,1.05,Very Good,J,SI2,63.2,56.0,6.49,6.45,4.09,2022
149,0.81,Ideal,G,SI2,61.6,56.0,5.97,6.01,3.69,2022
150,0.7,Ideal,E,SI1,61.6,56.0,5.72,5.75,3.53,2022
151,0.81,Good,G,SI2,61.0,61.0,5.94,5.99,3.64,2022
152,0.63,Premium,E,VVS2,62.1,57.0,5.48,5.41,3.38,2022
153,0.77,Premium,H,VS1,61.3,60.0,5.9,5.88,3.61,2022
154,0.83,Ideal,F,SI2,62.3,55.0,6.02,6.05,3.76,2022
155,0.71,Premium,F,VS1,60.1,62.0,5.77,5.74,3.46,2022
156,0.87,Very Good,I,SI1,63.6,55.8,6.07,6.1,3.87,2022
157,0.73,Ideal,E,SI1,62.2,56.0,5.74,5.78,3.58,2022
158,0.71,Premium,E,SI1,59.2,59.0,5.83,5.86,3.46,2022
159,0.71,Premium,E,SI1,61.8,59.0,5.7,5.75,3.54,2022
160,0.76,Premium,H,VVS2,59.6,57.0,5.91,5.86,3.51,2022
161,0.7,Ideal,F,VS1,62.2,56.0,5.73,5.68,3.55,2022
162,0.7,Good,E,VS2,64.1,55.0,5.6,5.66,3.61,2022
163,0.76,Ideal,I,VS2,61.3,56.0,5.87,5.91,3.61,2022
164,0.73,Ideal,H,VS2,62.7,55.0,5.72,5.76,3.6,2022
165,0.81,Premium,H,VS2,58.0,59.0,6.17,6.13,3.57,2022
166,0.72,Premium,G,VS2,62.9,57.0,5.73,5.65,3.58,2022
167,1.0,Premium,I,SI2,58.2,60.0,6.61,6.55,3.83,2022
168,0.73,Good,E,SI1,63.2,58.0,5.7,5.76,3.62,2022
169,0.81,Very Good,E,SI1,60.3,60.0,6.07,6.1,3.67,2022
170,0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52,2022
171,0.57,Ideal,F,VVS2,61.9,55.0,5.34,5.35,3.31,2022
172,0.74,Ideal,H,VS1,61.8,58.0,5.77,5.81,3.58,2022
173,0.74,Ideal,H,VS1,61.6,56.0,5.81,5.82,3.58,2022
174,0.7,Fair,G,VVS1,58.8,66.0,5.81,5.9,3.44,2022
175,1.01,Fair,E,SI2,67.4,60.0,6.19,6.05,4.13,2022
176,0.8,Very Good,H,VS2,63.4,60.0,5.92,5.82,3.72,2022
177,0.77,Ideal,I,VS1,61.5,59.0,5.87,5.91,3.62,2022
178,0.82,Ideal,F,SI2,62.4,54.0,5.97,6.02,3.74,2022
179,0.78,Ideal,D,SI1,61.9,57.0,5.91,5.86,3.64,2022
180,0.6,Very Good,G,IF,61.6,56.0,5.43,5.46,3.35,2022
181,0.9,Very Good,I,SI2,61.3,56.0,6.17,6.23,3.8,2022
182,0.76,Fair,G,VS1,59.0,70.0,5.89,5.8,3.46,2022
183,0.96,Ideal,F,I1,60.7,55.0,6.37,6.41,3.88,2022
184,0.73,Ideal,F,VS2,62.5,55.0,5.8,5.76,3.61,2022
185,0.73,Premium,F,VS2,62.7,58.0,5.76,5.7,3.59,2022
186,0.71,Good,F,VS2,57.8,60.0,5.9,5.87,3.4,2022
187,0.71,Good,F,VS2,63.8,58.0,5.64,5.61,3.59,2022
188,1.04,Premium,G,I1,62.2,58.0,6.46,6.41,4.0,2022
189,1.0,Premium,J,SI2,62.3,58.0,6.45,6.34,3.98,2022
190,0.87,Very Good,G,SI2,59.9,58.0,6.19,6.23,3.72,2022
191,0.72,Premium,E,VS2,63.0,55.0,5.79,5.61,3.59,2022
192,0.72,Premium,F,VS1,62.4,58.0,5.83,5.7,3.6,2022
193,0.74,Very Good,E,SI1,63.5,56.0,5.74,5.79,3.66,2022
194,0.71,Ideal,G,VS2,61.3,56.0,5.75,5.71,3.51,2022
195,0.7,Good,G,VS1,65.1,58.0,5.56,5.59,3.63,2022
196,0.71,Premium,F,VS2,62.6,58.0,5.7,5.67,3.56,2022
197,0.71,Premium,G,VS1,62.4,61.0,5.7,5.65,3.54,2022
198,0.77,Premium,G,VS2,61.3,57.0,5.93,5.88,3.62,2022
199,0.71,Premium,G,VS2,59.9,60.0,5.81,5.77,3.47,2022
200,0.71,Very Good,G,VS1,63.5,55.0,5.66,5.64,3.59,2022
201,0.71,Very Good,E,VS2,63.8,58.0,5.62,5.66,3.6,2022
202,0.71,Very Good,E,VS2,64.0,57.0,5.66,5.68,3.63,2022
203,0.8,Very Good,E,SI2,62.5,56.0,5.88,5.96,3.7,2022
204,0.7,Very Good,D,SI1,62.3,58.0,5.69,5.73,3.56,2022
205,0.72,Ideal,F,VS1,61.7,57.0,5.74,5.77,3.55,2022
206,0.72,Very Good,F,VS1,62.2,58.0,5.75,5.7,3.56,2022
207,0.7,Ideal,D,SI1,61.0,59.0,5.68,5.7,3.47,2022
208,0.72,Ideal,D,SI1,62.2,56.0,5.74,5.77,3.58,2022
209,0.72,Ideal,D,SI1,61.5,54.0,5.77,5.8,3.56,2022
210,0.74,Premium,F,VS2,61.7,58.0,5.85,5.78,3.59,2022
211,0.74,Premium,F,VS2,61.9,56.0,5.8,5.77,3.58,2022
212,0.73,Ideal,E,SI2,61.8,58.0,5.77,5.81,3.58,2022
213,0.72,Ideal,G,VS2,62.8,56.0,5.74,5.7,3.59,2022
214,0.74,Fair,F,VS2,61.1,68.0,5.82,5.75,3.53,2022
215,0.82,Good,G,VS2,64.0,57.0,5.92,5.89,3.78,2022
216,0.71,Very Good,F,VS1,60.0,57.0,5.84,5.9,3.52,2022
217,0.93,Premium,J,SI2,61.9,57.0,6.21,6.19,3.84,2022
218,0.8,Very Good,H,VS2,62.8,57.0,5.87,5.91,3.7,2022
219,1.0,Fair,G,I1,66.4,59.0,6.16,6.09,4.07,2022
220,0.58,Ideal,E,VVS2,60.9,56.0,5.41,5.43,3.3,2022
221,0.73,Very Good,D,SI1,63.1,57.0,5.74,5.7,3.61,2022
222,0.81,Premium,D,SI2,59.2,57.0,6.15,6.05,3.61,2022
223,0.7,Very Good,F,VS1,61.8,56.0,5.63,5.7,3.5,2022
224,0.7,Good,F,VS1,62.8,61.0,5.57,5.61,3.51,2022
225,0.75,Very Good,F,SI1,63.4,58.0,5.72,5.76,3.64,2022
226,0.83,Very Good,D,SI1,63.5,54.0,5.98,5.95,3.79,2022
227,1.0,Fair,J,VS2,65.7,59.0,6.14,6.07,4.01,2022
228,0.99,Fair,I,SI2,68.1,56.0,6.21,6.06,4.18,2022
229,0.7,Very Good,G,VS1,63.0,60.0,5.57,5.64,3.53,2022
230,0.7,Very Good,F,VS2,59.5,58.0,5.75,5.85,3.45,2022
231,0.7,Good,E,SI1,63.5,59.0,5.49,5.53,3.5,2022
232,0.7,Very Good,F,VS2,61.7,58.0,5.63,5.69,3.49,2022
233,0.32,Premium,I,SI1,62.7,58.0,4.37,4.34,2.73,2022
234,0.32,Premium,I,SI1,62.8,58.0,4.39,4.34,2.74,2022
235,0.32,Ideal,I,SI1,62.4,57.0,4.37,4.35,2.72,2022
236,0.32,Ideal,I,SI1,60.7,57.0,4.47,4.42,2.7,2022
237,0.3,Premium,H,SI1,60.9,59.0,4.31,4.29,2.62,2022
238,0.3,Premium,H,SI1,60.1,55.0,4.41,4.38,2.64,2022
239,0.3,Premium,H,SI1,62.9,58.0,4.28,4.24,2.68,2022
240,0.3,Good,H,SI1,63.8,55.0,4.26,4.2,2.7,2022
241,0.3,Very Good,H,SI1,63.4,60.0,4.25,4.23,2.69,2022
242,0.32,Good,I,SI1,63.9,55.0,4.36,4.34,2.78,2022
243,0.29,Very Good,E,VS1,61.9,55.0,4.28,4.33,2.66,2022
244,0.34,Ideal,H,VS2,61.5,56.0,4.47,4.5,2.76,2022
245,0.34,Ideal,H,VS2,60.4,57.0,4.54,4.57,2.75,2022
246,0.34,Ideal,I,VS1,61.8,55.0,4.48,4.52,2.78,2022
247,0.34,Ideal,I,VS1,62.0,56.0,4.5,4.53,2.8,2022
248,0.3,Ideal,G,VS1,62.3,56.0,4.29,4.31,2.68,2022
249,0.35,Ideal,G,SI1,60.6,56.0,4.56,4.58,2.77,2022
250,0.43,Very Good,E,I1,58.4,62.0,4.94,5.0,2.9,2022
251,0.36,Ideal,I,VS2,61.9,56.0,4.54,4.57,2.82,2022
252,0.73,Premium,E,VS2,58.6,60.0,5.92,5.89,3.46,2022
253,0.51,Ideal,F,VVS1,62.0,57.0,5.15,5.11,3.18,2022
254,0.84,Very Good,E,SI1,63.4,55.0,6.0,5.95,3.79,2022
255,0.76,Premium,E,SI1,62.2,59.0,5.86,5.81,3.63,2022
256,0.55,Very Good,D,VVS1,61.5,56.0,5.23,5.27,3.23,2022
257,0.76,Very Good,F,SI2,58.5,62.0,5.93,6.01,3.49,2022
258,0.7,Ideal,H,SI1,61.4,56.0,5.7,5.76,3.52,2022
259,0.7,Ideal,H,SI1,61.4,56.0,5.72,5.77,3.53,2022
260,0.9,Fair,J,VS2,65.0,56.0,6.08,6.04,3.94,2022
261,0.95,Fair,F,SI2,56.0,60.0,6.62,6.53,3.68,2022
262,0.89,Premium,H,SI2,60.2,59.0,6.26,6.23,3.76,2022
263,0.72,Premium,E,VS2,58.3,58.0,5.99,5.92,3.47,2022
264,0.96,Fair,E,SI2,53.1,63.0,6.73,6.65,3.55,2022
265,0.78,Very Good,I,VVS2,61.4,56.0,5.91,5.95,3.64,2022
266,0.61,Ideal,G,VVS2,60.1,57.0,5.52,5.54,3.32,2022
267,0.71,Good,D,VS1,63.4,55.0,5.61,5.69,3.58,2022
268,0.78,Premium,F,SI1,61.5,59.0,5.96,5.88,3.64,2022
269,0.87,Ideal,H,SI2,62.7,56.0,6.16,6.13,3.85,2022
270,0.83,Ideal,H,SI1,62.5,55.0,6.04,6.0,3.76,2022
271,0.71,Ideal,I,VVS2,60.2,56.0,5.84,5.89,3.53,2022
272,0.71,Ideal,E,VS2,62.7,57.0,5.66,5.64,3.54,2022
273,0.63,Ideal,F,VVS2,61.5,56.0,5.48,5.52,3.38,2022
274,0.71,Premium,E,SI1,61.4,58.0,5.77,5.73,3.53,2022
275,0.7,Premium,E,VS2,62.4,61.0,5.66,5.63,3.52,2022
276,1.0,Premium,H,I1,61.3,60.0,6.43,6.39,3.93,2022
277,0.86,Premium,F,SI2,59.3,62.0,6.36,6.22,3.73,2022
278,0.8,Ideal,H,SI1,61.0,57.0,6.07,6.0,3.68,2022
279,0.7,Premium,E,VS1,59.6,57.0,5.91,5.83,3.5,2022
280,0.7,Premium,F,VS2,61.8,60.0,5.69,5.64,3.5,2022
281,0.7,Premium,E,VS1,62.7,57.0,5.68,5.64,3.55,2022
282,1.0,Fair,H,SI2,65.3,62.0,6.34,6.12,4.08,2022
283,0.72,Ideal,H,VS1,62.3,56.0,5.73,5.77,3.58,2022
284,0.86,Good,F,SI2,64.3,60.0,5.97,5.95,3.83,2022
285,0.75,Ideal,E,SI1,62.0,57.0,5.8,5.78,3.59,2022
286,0.53,Ideal,E,VVS1,61.9,55.0,5.2,5.21,3.22,2022
287,0.73,Premium,E,SI1,61.3,58.0,5.83,5.76,3.55,2022
288,0.73,Premium,E,SI1,59.6,61.0,5.92,5.85,3.51,2022
289,0.73,Premium,E,SI1,62.2,59.0,5.77,5.68,3.56,2022
290,0.73,Premium,D,SI1,61.7,55.0,5.84,5.82,3.6,2022
291,0.72,Premium,E,VS2,60.3,59.0,5.84,5.8,3.51,2022
292,0.72,Premium,E,VS2,60.9,60.0,5.8,5.76,3.52,2022
293,0.72,Premium,E,VS2,62.4,59.0,5.77,5.7,3.58,2022
294,0.7,Premium,E,VS2,60.2,60.0,5.73,5.7,3.44,2022
295,0.6,Ideal,F,VVS2,62.0,55.0,5.37,5.4,3.34,2022
296,0.73,Ideal,F,SI1,62.1,55.0,5.75,5.78,3.58,2022
297,0.71,Premium,D,SI1,62.7,60.0,5.71,5.67,3.57,2022
298,0.7,Premium,D,SI1,60.2,60.0,5.82,5.75,3.48,2022
299,0.9,Good,J,VS2,64.0,61.0,6.04,6.03,3.86,2022
300,0.71,Ideal,D,SI1,60.2,56.0,5.86,5.83,3.52,2022
301,0.7,Premium,E,VS2,61.5,59.0,5.73,5.68,3.51,2022
302,0.7,Premium,E,VS2,62.6,56.0,5.71,5.66,3.56,2022
303,0.7,Ideal,D,SI1,59.7,58.0,5.82,5.77,3.46,2022
304,0.7,Good,E,SI1,61.4,64.0,5.71,5.66,3.49,2022
305,0.7,Ideal,D,SI1,62.5,57.0,5.62,5.59,3.51,2022
306,0.7,Premium,F,VS2,60.6,58.0,5.8,5.72,3.49,2022
307,0.7,Ideal,D,SI1,61.4,54.0,5.75,5.71,3.52,2022
308,0.79,Very Good,D,SI2,62.8,59.0,5.86,5.9,3.69,2022
309,0.9,Good,I,SI1,63.8,57.0,6.06,6.13,3.89,2022
310,0.61,Ideal,E,VVS2,61.3,54.0,5.51,5.59,3.4,2022
311,0.9,Fair,H,SI2,65.8,54.0,6.05,5.98,3.96,2022
312,0.77,Ideal,I,VVS2,62.1,57.0,5.84,5.86,3.63,2022
313,0.71,Premium,G,VS1,62.2,59.0,5.73,5.66,3.54,2022
314,0.73,Very Good,G,VS1,62.0,57.0,5.75,5.8,3.58,2022
315,0.83,Premium,H,SI1,62.5,59.0,6.02,5.95,3.74,2022
316,1.17,Premium,J,I1,60.2,61.0,6.9,6.83,4.13,2022
317,0.91,Fair,H,SI2,61.3,67.0,6.24,6.19,3.81,2022
318,0.73,Premium,E,VS1,62.6,60.0,5.75,5.68,3.58,2022
319,0.9,Premium,I,SI2,62.2,59.0,6.11,6.07,3.79,2022
320,0.7,Premium,E,VS1,62.2,58.0,5.66,5.6,3.5,2022
321,0.7,Premium,E,VS1,59.4,61.0,5.78,5.74,3.42,2022
322,0.9,Very Good,I,SI2,63.5,56.0,6.17,6.07,3.88,2022
323,0.78,Premium,F,SI1,60.8,60.0,5.97,5.94,3.62,2022
324,0.96,Ideal,F,I1,60.7,55.0,6.41,6.37,3.88,2022
325,0.7,Very Good,D,SI1,62.3,59.0,5.67,5.7,3.54,2022
326,0.72,Good,D,VS2,64.0,54.0,5.68,5.7,3.64,2022
327,0.7,Ideal,H,VVS1,61.6,57.0,5.69,5.74,3.52,2022
328,1.01,Premium,H,SI2,61.6,61.0,6.39,6.31,3.91,2022
329,0.8,Good,E,SI2,63.7,54.0,5.91,5.87,3.75,2022
330,0.59,Ideal,E,VVS1,62.0,56.0,5.36,5.38,3.33,2022
331,0.75,Premium,E,SI2,61.9,57.0,5.88,5.82,3.62,2022
332,0.8,Premium,E,SI2,60.2,57.0,6.05,6.01,3.63,2022
333,0.71,Very Good,E,VS2,62.7,59.0,5.65,5.7,3.56,2022
334,0.9,Premium,G,SI1,60.6,62.0,6.21,6.13,3.74,2022
335,0.76,Very Good,E,SI2,60.8,60.0,5.89,5.98,3.61,2022
336,0.72,Ideal,E,SI1,62.3,57.0,5.7,5.76,3.57,2022
337,0.91,Very Good,I,SI2,62.8,61.0,6.15,6.18,3.87,2022
338,0.81,Premium,G,SI1,63.0,60.0,5.87,5.81,3.68,2022
339,0.82,Ideal,H,SI1,62.5,57.0,5.91,5.97,3.71,2022
340,0.71,Premium,F,VS1,62.2,58.0,5.72,5.66,3.54,2022
341,0.9,Good,J,SI1,64.3,63.0,6.05,6.01,3.88,2022
342,0.7,Ideal,D,VS2,61.0,57.0,5.74,5.76,3.51,2022
343,0.85,Ideal,H,SI2,62.5,57.0,6.02,6.07,3.78,2022
344,0.7,Ideal,F,SI1,60.7,57.0,5.73,5.75,3.49,2022
345,0.8,Ideal,G,VS2,62.2,56.0,5.94,5.87,3.67,2022
346,0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7,2022
347,0.78,Ideal,I,VS2,61.8,55.0,5.92,5.95,3.67,2022
348,0.9,Very Good,J,SI1,63.4,54.0,6.17,6.14,3.9,2022
349,0.9,Fair,G,SI2,65.3,59.0,6.07,6.0,3.94,2022
350,0.63,Ideal,F,VVS2,61.9,57.0,5.47,5.51,3.4,2022
351,0.72,Ideal,E,VS2,62.8,57.0,5.71,5.73,3.59,2022
